event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ	groupK	groupL	groupM	groupN	groupO
CA-19181-17272-17653-17726-18261[INC][153/1]	0.886231940353745	0.886231940353745	0.886231940353745	0.886231940353745	0.886231940353745	0.8639865085291449	0.8639865085291449	0.8639865085291449	0.8639865085291449	0.8639865085291449	0.9236248793091154	0.9236248793091154	0.9236248793091154	0.9236248793091154	0.9236248793091154
CA-19185-3038-4472-4500-8800[INC][1/192][UPT]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA-19185-11913-11999-12064-12561[INC][114/1][DNT]	0.948833398267327	0.948833398267327	0.948833398267327	0.948833398267327	0.948833398267327	0.955743217713856	0.955743217713856	0.955743217713856	0.955743217713856	0.955743217713856	0.926393112753192	0.926393112753192	0.926393112753192	0.926393112753192	0.926393112753192
CA-19200-33678-34959-35047-35783[INC][1/19]	0.0020904419588299	0.0020904419588299	0.0020904419588299	0.0020904419588299	0.0020904419588299	0.0017732524880274	0.0017732524880274	0.0017732524880274	0.0017732524880274	0.0017732524880274	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-192159-4017-5965-6130-6221[INC][21/1]	0.844623105289332	0.844623105289332	0.844623105289332	0.844623105289332	0.844623105289332	0.885709029412846	0.885709029412846	0.885709029412846	0.885709029412846	0.885709029412846	0.90918142685848	0.90918142685848	0.90918142685848	0.90918142685848	0.90918142685848
CA-192196-45026-50341-50371-54833[INC][21/22]	0.598243245178852	0.598243245178852	0.598243245178852	0.598243245178852	0.598243245178852	0.8204304453337095	0.8204304453337095	0.8204304453337095	0.8204304453337095	0.8204304453337095	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-192292-7928-8404-8428-9424[INC][2/49]	0.0168686453733183	0.0168686453733183	0.0168686453733183	0.0168686453733183	0.0168686453733183	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.0692618840057231	0.0692618840057231	0.0692618840057231	0.0692618840057231	0.0692618840057231
CA-19264-52003-61280-61352-62663[INC][11/3]	0.962072977399763	0.962072977399763	0.962072977399763	0.962072977399763	0.962072977399763	0.48077342659977135	0.48077342659977135	0.48077342659977135	0.48077342659977135	0.48077342659977135	1	1	1	1	1
CA-19264-52003-58139-58286-61280[INC][1/11]	3.566483542863e-4	3.566483542863e-4	3.566483542863e-4	3.566483542863e-4	3.566483542863e-4	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0	0	0	0	0
CA-193116-3089-5623-5705-6614[INC][1/25][UPT]	0	0	0	0	0	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	0	0	0	0	0
CA-193116-3089-5623-5702-6614[INC][24/25][UPT]	0	0	0	0	0	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	0	0	0	0	0
CA-19342-3157-5645-5726-5990[INC][86/2][UPT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.989197541784594	0.989197541784594	0.989197541784594	0.989197541784594	0.989197541784594	0.18232115563773	0.18232115563773	0.18232115563773	0.18232115563773	0.18232115563773
CA-19356-10540-16202-16407-16961[INC][2/26]	9.93621914707703e-6	9.93621914707703e-6	9.93621914707703e-6	9.93621914707703e-6	9.93621914707703e-6	3.8747128059514504e-5	3.8747128059514504e-5	3.8747128059514504e-5	3.8747128059514504e-5	3.8747128059514504e-5	0.5000362987860908	0.5000362987860908	0.5000362987860908	0.5000362987860908	0.5000362987860908
CA-19364-10729-11754-11845-14263[INC][2/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.959067064790192	0.959067064790192	0.959067064790192	0.959067064790192	0.959067064790192	0.854913561408236	0.854913561408236	0.854913561408236	0.854913561408236	0.854913561408236
CA-19364-11845-11944-12015-14263[INC][17/2]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.959067064790192	0.959067064790192	0.959067064790192	0.959067064790192	0.959067064790192	0.839687808751753	0.839687808751753	0.839687808751753	0.839687808751753	0.839687808751753
CA-19646-3153-3726-3874-9637[INC][172/1][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-19652-4230-4357-4628-4855[INC][4/292]	0	0	0	0	0	4.3924054794392496e-4	4.3924054794392496e-4	4.3924054794392496e-4	4.3924054794392496e-4	4.3924054794392496e-4	0	0	0	0	0
CA-19653-4480-8835-9517-11310[INC][6/8][DNT]	0.0016402405686167	0.0016402405686167	0.0016402405686167	0.0016402405686167	0.0016402405686167	0.32715766098796256	0.32715766098796256	0.32715766098796256	0.32715766098796256	0.32715766098796256	0.014593967011296	0.014593967011296	0.014593967011296	0.014593967011296	0.014593967011296
CA-19654-3171-14090-14197-15360[INC][6/69][UPT]	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0	0	0	0	0
CA-19654-3171-10826-10902-15360[INC][1/69][UPT]	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0	0	0	0	0
CA-19654-15471-24815-24905-28482[INC][2/4]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-19654-15471-22145-23695-24815[INC][5/2]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-19654-15471-22416-23695-24815[INC][5/2]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-19654-15471-75046-75121-79282[INC][4/2]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-19732-3151-3351-3548-4832[INC][43/1][UPT]	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	1.7832417714315e-4	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0	0	0	0	0
