Regulator	Target	MI	pvalue
604	122616	0.2445892976500943	1.0
1820	55349	0.2579693555623672	1.0
646	58504	0.2860941788933644	1.0
602	28	0.24371183054517154	1.0
867	753	0.3215752406305201	1.0
1050	146712	0.3558900332751154	1.0
867	750	0.32666019813227276	1.0
1388	6046	0.32558361163473926	1.0
657	100134934	0.37768986569485574	1.0
646	10564	0.3311381702567271	1.0
867	755	0.44508566420671547	1.0
405	26574	0.32151039825978883	1.0
4299	389289	0.30552492155685407	1.0
367	1244	0.32340854401824704	1.0
367	10555	0.4862324147332931	1.0
1388	57597	0.2392606274658	1.0
468	91272	0.28280069721306206	1.0
4299	56899	0.27032856268032557	1.0
367	10552	0.3208038844706328	1.0
602	79992	0.23294762358329635	1.0
4299	56882	0.4097950271659485	1.0
1050	375748	0.351051624961768	1.0
196	23476	0.2268277978006097	1.0
196	23473	0.2889858274792892	1.0
604	4179	0.23229151898820533	1.0
430	253175	0.27920915712101557	1.0
571	150356	0.35479685517490367	1.0
165	157773	0.3377700729774944	1.0
405	51550	0.4903287311541959	1.0
466	138716	0.3740500957226841	1.0
1386	149840	0.3433988303429578	1.0
602	120425	0.24782999383292026	1.0
1051	140461	0.2371883782112758	1.0
165	9743	0.2386787648286397	1.0
165	8412	0.28030133904829757	1.0
165	9744	0.4388517429644656	1.0
1388	8697	0.26231271347023455	1.0
196	10164	0.26435879101296855	1.0
863	24141	0.27881548329149863	1.0
602	145741	0.49503091153235257	1.0
367	1258	0.26017268399936544	1.0
4299	221545	0.2655517327100112	1.0
367	58509	0.22824586157122795	1.0
571	283416	0.2480001983404554	1.0
367	10565	0.6616368401913612	1.0
1388	22926	0.3069746977652252	1.0
367	10564	0.664953385318802	1.0
657	9857	0.3389658380239077	1.0
1050	375757	0.34410680349836864	1.0
571	148046	0.24691991213284936	1.0
657	9859	0.28166222160319654	1.0
4299	81873	0.2686270850260528	1.0
367	338809	0.28859797322935776	1.0
657	9854	0.28361919373089517	1.0
1386	123207	0.3934001843000443	1.0
867	14	0.45833336314298945	1.0
657	91801	0.26263714156399054	1.0
196	10134	0.295737120938257	1.0
1386	389541	0.618140040221952	1.0
867	775	0.24989826520839564	1.0
604	339965	0.26795466867687434	1.0
429	254013	0.29573548729802734	1.0
468	113189	0.24192527508294592	1.0
867	19	0.30362871355973836	1.0
657	221908	0.42735942354432765	1.0
468	91298	0.2603397273481356	1.0
