event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ
CA-19264-52003-58139-58286-61280[INC][1/11]	0.12	0.133333333333333	0.142857142857143	0.25	0.310344827586207	0.163636363636364	0.162162162162162	0.0684931506849315	0.107142857142857	0.227272727272727
CA-19264-58286-60411-60552-61280[INC][3/2]	0.07038510283946389	0.15791925465838513	0.14357940152841558	0.238095238095238	0.130434782608696	0.1330282131661442	0.15438596491228068	0.1290448343079921	0.08871321914800177	0.12305588902227552
CA-19286-3085-3409-3618-4692[INC][1/34][UPT]	0	0.0909090909090909	0	0.6517517076783694	0.0769230769230769	0	0	0.0909090909090909	0.6547696415655948	0
CA-19286-3085-3409-3496-4692[INC][6/34][UPT]	0	0.0909090909090909	0	0	0.0769230769230769	0	0.0909090909090909	0	0.6547696415655948	0
CA-19324-17101-20211-20307-24482[INC][264/5]	1	1	1	1	1	0.9962121212121211	1	1	1	1
CA-19352-5706-5805-5903-6368[INC][26/70]	0.0909090909090909	0.058722527472527514	0.08598114243275527	0.10046524356869178	0.07616572542355934	0.10839557692116908	0.07305834262356	0.067750677506775	0.055555555555555476	0.037798612214629976
CA-19353-16325-21340-21397-22835[INC][6/153]	4.357298474945444e-4	0.00909090909090909	0	0	0.010989010989010986	0	0	0.012684989429175477	0.004816053511705678	8.110300081103e-4
CA-19646-3153-3726-3874-9637[INC][172/1][UPT]	1	0.9968253968253968	0.993421052631579	1	1	0.9772727272727272	1	0.9909090909090909	1	0.9722930514692529
CA-19652-4230-4357-4628-4855[INC][4/292]	0	0	0	0	0	0	0	0	0	0
CA-19891-5288-6481-6595-8467[INC][67/1]	1	1	1	1	1	1	1	1	1	1
CA-19899-4948-5223-5417-5643[INC][493/1][DNT]	1	1	1	0.931034482758621	0.846153846153846	1	1	0.933333333333333	0.939393939393939	1
CA-19934-4708-6382-6536-7126[INC][3/555]	0	0	0	0.0065359477124183	0	0	0.0066225165562913	0	0	0
CA-19942-4426-4710-4755-5975[INC][1/524]	0	0	0	0	0	0	0	0	0	0
CA-19951-3942-4576-4758-6055[INC][968/1][DNT]	1	1	1	1	1	1	1	1	1	0.99501246882793
CA-19981-3965-4922-5080-5242[INC][1/686][DNT]	0	0	0	0	0	0	0	0	0	0
CA-19988-5310-5646-5695-6890[INC][782/1]	1	1	1	1	1	1	1	1	1	1
CA-20014-45775-47125-47173-49613[INC][11/234][DNT]	0	0	0	0	0	0	0	0	0	0
CA-20022-3115-6304-6394-8398[INC][131/1][UPT]	1	1	1	1	1	1	1	1	1	1
CA-20085-3839-4393-4474-6568[INC][5/774]	0.11677380816930256	0.16173454469507118	0.1686114768488041	0.176470588235294	0.13306598806598813	0.18564673344085114	0.222222222222222	0.18770504857461354	0.172887667887668	0.1757763975155279
CA-20088-5813-7749-7769-8094[INC][391/499][DNT]	0	0	0	0	0	0	0	0	0	0
CA-20088-5813-6371-6389-8094[INC][2/499][DNT]	0	0	0	0	0	0	0	0	0	0
CA-20133-3349-4292-4381-7855[INC][225/1][UPT]	1	1	1	1	1	0.9962121212121211	1	1	1	1
CA-20133-3349-3581-3645-4292[INC][1/245][UPT]	0	0	0	0	0	0	0.009523809523809528	0	0	0
CA-20184-3099-10014-10169-17601[INC][22/1][UPT]	1	1	0.9918286959436808	0.9956799214531173	0.9908860800671504	0.9974747474747474	0.9956651407962269	1	0.9972899728997291	0.9757593984962405
CA-20224-3093-6740-6867-7559[INC][7/265][UPT]	0	0	0	0.0769230769230769	0	0	0.0909090909090909	0.02777777777777775	0	0
CA-20224-3093-4778-4828-7559[INC][9/265][UPT]	0	0	0	0	0	0	0	0.0033222591362126286	0.005714285714285714	0
CA-20224-9158-12291-12367-12453[INC][1/181]	0	0	0	0	0	0	0	0	0	0
CA-20229-3809-4179-4289-5275[INC][3/177]	0	0	0.0526315789473684	0.0222222222222222	0.0526315789473684	0	0.0434782608695652	0.105263157894737	0.0384615384615385	0.0666666666666667
CA-20229-5377-5451-5513-5742[INC][5/1]	1	1	1	1	1	1	1	1	1	1
CA-20229-5377-5472-5513-5742[INC][154/1]	1	1	1	1	1	1	1	1	1	1
CA-20320-3287-39423-39771-44447[INC][8/120][UPT]	4.901960784313625e-4	0.01871657754010695	0	0	0.023504273504273487	0	0.009615384615384612	0.02017027598422947	0.007224080267558517	0.014560051439024824
CA-20320-48689-61429-61563-64289[INC][74/1]	1	0.9964285714285714	0.993421052631579	1	0.9985380116959064	0.9971590909090908	1	1	1	0.9796992481203007
CA-20364-4923-5013-5067-5254[INC][307/1]	1	1	1	1	1	1	1	1	1	1
CA-20384-4217-4612-4878-4992[INC][1/1]	1	1	1	1	1	0.9962121212121211	1	1	1	0.9849624060150376
CA-20384-4217-4807-4878-4992[INC][396/1]	1	1	1	1	1	1	1	1	1	1
CA-20400-3252-15679-15743-21035[INC][13/1][UPT]	0.970149253731343	1	0.98019801980198	1	0.979591836734694	1	0.91304347826087	0.977272727272727	1	0.980392156862745
CA-20409-40958-42177-42231-44305[INC][60/4]	0.909090909090909	1	0.933333333333333	1	1	1	1	0.92	1	1
CA-20419-3114-14223-14391-14512[INC][50/1][UPT]	1	0.9959183673469386	1	1	0.9978070175438596	1	1	1	1	1
CA-20419-33830-37956-38088-40568[INC][9/1]	1	1	1	1	1	1	1	1	1	1
CA-20463-13234-13334-13403-14596[INC][3/144][DNT]	0	0	0	0	0	0	0	0	0	0
CA-20492-3344-5459-5564-9237[INC][131/15]	0.842105263157895	0.885714285714286	0.952380952380952	1	0.928571428571429	1	1	1	0.941176470588235	0.878787878787879
CA-20492-5564-9237-9297-9669[INC][122/3]	1	0.95	0.96	1	0.891891891891892	1	1	1	0.902439024390244	0.954545454545455
